Neighborhood,Zip Code,Precinct
CHELSEA,10001,10
JAVITS CENTER,10001,10
LOWER EAST SIDE,10002,7
EAST VILLAGE,10003,9
TRIBECA,10007,1
ALPHABET CITY,10009,9
GRAMERCY,10010,13
GREENWICH VILLAGE-CENTRAL,10011,10
SOHO,10012,1
LITTLE ITALY,10013,1
GREENWICH VILLAGE-WEST,10014,6
KIPS BAY,10016,17
MURRAY HILL,10016,17
CLINTON,10019,18
UPPER EAST SIDE (59-79),10021,19
MIDTOWN EAST,10022,17
UPPER WEST SIDE (59-79),10023,20
UPPER WEST SIDE (79-96),10024,20
MANHATTAN VALLEY,10025,24
UPPER WEST SIDE (96-116),10025,24
HARLEM-UPPER,10026,28
HARLEM-CENTRAL,10027,28
UPPER EAST SIDE (79-96),10028,19
HARLEM-EAST,10029,23
HARLEM-WEST,10030,32
WASHINGTON HEIGHTS LOWER,10032,33
WASHINGTON HEIGHTS UPPER,10033,34
INWOOD,10034,34
MIDTOWN WEST,10036,18
SOUTHBRIDGE,10038,1
EMERSON HILL,10301,120
GRYMES HILL,10301,120
LIVINGSTON,10301,120
NEW BRIGHTON,10301,120
SILVER LAKE,10301,120
NEW BRIGHTON-ST. GEORGE,10301,120
PORT RICHMOND,10302,121
MARINERS HARBOR,10303,121
PORT IVORY,10303,121
DONGAN HILLS,10304,120
STAPLETON,10304,120
STAPLETON-CLIFTON,10304,120
TOMPKINSVILLE,10304,120
ARROCHAR,10305,122
ARROCHAR-SHORE ACRES,10305,122
CONCORD,10305,122
CONCORD-FOX HILLS,10305,122
DONGAN HILLS-COLONY,10305,122
DONGAN HILLS-OLD TOWN,10305,122
GRANT CITY,10305,122
GRASMERE,10305,122
ROSEBANK,10305,122
SOUTH BEACH,10305,122
MIDLAND BEACH,10306,122
NEW DORP,10306,122
NEW DORP-BEACH,10306,122
NEW DORP-HEIGHTS,10306,122
OAKWOOD,10306,122
OAKWOOD-BEACH,10306,122
RICHMONDTOWN,10306,122
RICHMONDTOWN-LIGHTHS HILL,10306,122
TODT HILL,10306,122
TOTTENVILLE,10307,123
GREAT KILLS,10308,122
GREAT KILLS-BAY TERRACE,10308,122
PLEASANT PLAINS,10309,123
PRINCES BAY,10309,123
ROSSVILLE,10309,123
ROSSVILLE-CHARLESTON,10309,123
ROSSVILLE-PORT MOBIL,10309,123
ROSSVILLE-RICHMOND VALLEY,10309,123
CLOVE LAKES,10310,120
WEST NEW BRIGHTON,10310,120
ANNADALE,10312,123
ARDEN HEIGHTS,10312,123
ELTINGVILLE,10312,123
WOODROW,10312,123
BLOOMFIELD,10314,121
BULLS HEAD,10314,121
CASTLETON CORNERS,10314,121
FRESH KILLS,10314,121
HUGUENOT,10314,121
MANOR HEIGHTS,10314,121
NEW SPRINGVILLE,10314,121
TRAVIS,10314,121
WESTERLEIGH,10314,121
WILLOWBROOK,10314,121
HIGHBRIDGE/MORRIS HEIGHTS,10452,44
MOTT HAVEN/PORT MORRIS,10454,40
MELROSE/CONCOURSE,10455,40
MORRISANIA/LONGWOOD,10455,40
CROTONA PARK,10456,44
BATHGATE,10457,48
EAST TREMONT,10457,48
MOUNT HOPE/MOUNT EDEN,10457,48
BELMONT,10458,48
MORRIS PARK/VAN NEST,10461,49
PELHAM PARKWAY SOUTH,10461,49
SCHUYLERVILLE/PELHAM BAY,10461,49
WESTCHESTER,10461,49
BRONX PARK,10462,49
BRONXDALE,10462,49
CASTLE HILL/UNIONPORT,10462,49
PARKCHESTER,10462,49
KINGSBRIDGE HTS/UNIV HTS,10463,50
KINGSBRIDGE/JEROME PARK,10463,50
CITY ISLAND,10464,45
CITY ISLAND-PELHAM STRIP,10465,45
COUNTRY CLUB,10465,45
THROGS NECK,10465,45
WAKEFIELD,10466,47
WILLIAMSBRIDGE,10466,47
BEDFORD PARK/NORWOOD,10468,52
FORDHAM,10468,52
PELHAM GARDENS,10469,49
PELHAM PARKWAY NORTH,10469,49
WOODLAWN,10470,47
FIELDSTON,10471,50
RIVERDALE,10471,50
SOUNDVIEW,10472,43
HUNTS POINT,10474,41
BAYCHESTER,10475,45
CO-OP CITY,10475,45
FLORAL PARK,11001,105
GLEN OAKS,11004,105
LONG ISLAND CITY,11101,108
ASTORIA,11102,114
SUNNYSIDE,11104,108
BROOKLYN HEIGHTS,11201,84
DOWNTOWN-FULTON FERRY,11201,84
DOWNTOWN-FULTON MALL,11201,84
DOWNTOWN-METROTECH,11201,84
FORT GREENE,11205,79
NAVY YARD,11205,79
WILLIAMSBURG-EAST,11206,90
BUSHWICK,11207,75
EAST NEW YORK,11207,75
CYPRESS HILLS,11208,75
WILLIAMSBURG-CENTRAL,11211,94
WILLIAMSBURG-NORTH,11211,94
WILLIAMSBURG-SOUTH,11211,94
BROWNSVILLE,11212,73
CROWN HEIGHTS,11213,77
BATH BEACH,11214,62
BENSONHURST,11214,62
PARK SLOPE,11215,78
PARK SLOPE SOUTH,11215,78
WINDSOR TERRACE,11215,78
BOERUM HILL,11217,84
GOWANUS,11217,84
KENSINGTON,11218,66
BOROUGH PARK,11219,66
BAY RIDGE,11220,72
SUNSET PARK,11220,72
BEDFORD STUYVESANT,11221,83
GREENPOINT,11222,94
GRAVESEND,11223,62
CONEY ISLAND,11224,60
SEAGATE,11224,60
FLATBUSH-LEFFERTS GARDEN,11225,71
FLATBUSH-CENTRAL,11226,70
FLATBUSH-EAST,11226,70
FLATBUSH-NORTH,11226,70
DYKER HEIGHTS,11228,68
GERRITSEN BEACH,11229,61
MADISON,11229,61
MIDWOOD,11230,66
OCEAN PARKWAY-NORTH,11230,66
OCEAN PARKWAY-SOUTH,11230,66
CARROLL GARDENS,11231,76
COBBLE HILL,11231,76
COBBLE HILL-WEST,11231,76
RED HOOK,11231,76
BUSH TERMINAL,11232,72
OCEAN HILL,11233,81
BERGEN BEACH,11234,63
FLATLANDS,11234,63
MARINE PARK,11234,63
MILL BASIN,11234,63
OLD MILL BASIN,11234,63
BRIGHTON BEACH,11235,61
MANHATTAN BEACH,11235,61
SHEEPSHEAD BAY,11235,61
CANARSIE,11236,69
WYCKOFF HEIGHTS,11237,90
CLINTON HILL,11238,77
PROSPECT HEIGHTS,11238,77
SPRING CREEK,11239,75
FLUSHING-NORTH,11354,109
FLUSHING MEADOW PARK,11354,109
FLUSHING-SOUTH,11355,109
COLLEGE POINT,11356,109
BEECHHURST,11357,109
WHITESTONE,11357,109
BAYSIDE,11361,111
DOUGLASTON,11362,111
LITTLE NECK,11362,111
HOLLIS HILLS,11364,111
OAKLAND GARDENS,11364,111
FRESH MEADOWS,11365,111
HILLCREST,11367,107
CORONA,11368,110
EAST ELMHURST,11369,115
AIRPORT LA GUARDIA,11371,115
JACKSON HEIGHTS,11372,115
ELMHURST,11373,110
REGO PARK,11374,112
FOREST HILLS,11375,112
WOODSIDE,11377,108
MASPETH,11378,104
MIDDLE VILLAGE,11379,104
GLENDALE,11385,104
RIDGEWOOD,11385,104
CAMBRIA HEIGHTS,11411,105
ST. ALBANS,11412,113
LAURELTON,11413,105
SPRINGFIELD GARDENS,11413,105
HOWARD BEACH,11414,106
