BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,ALPHABET CITY,01 ONE FAMILY HOMES,1,593362,593362,593362,593362,2010,,,,
MANHATTAN,ALPHABET CITY,02 TWO FAMILY HOMES,1,1320000,1320000,1320000,1320000,2010,9,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,900000,900000,900000,900000,2010,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,500000,2875000,2875000,5250000,2010,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,2,1306213,2603107,2603107,3900000,2010,10,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,1,6400000,6400000,6400000,6400000,2010,,,,
MANHATTAN,CLINTON,01 ONE FAMILY HOMES,1,3850000,3850000,3850000,3850000,2010,,,,
MANHATTAN,EAST VILLAGE,01 ONE FAMILY HOMES,2,3100000,5800000,5800000,8500000,2010,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,2,477500,2738750,2738750,5000000,2010,9,,,
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,3290000,3290000,3290000,3290000,2010,,,,
MANHATTAN,GRAMERCY,01 ONE FAMILY HOMES,2,2700000,6325000,6325000,9950000,2010,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,4,5100000,13112500,13675000,20000000,2010,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,11,4125000,7160455,6280000,13580000,2010,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,5,2725000,5850000,3400000,12750000,2010,6,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,7,2475000,4875000,5750000,6800000,2010,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,2,900000,2075000,2075000,3250000,2010,17,,,
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,11999900,11999900,11999900,11999900,2010,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,2,3000000,3237500,3237500,3475000,2010,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,5250000,5250000,5250000,5250000,2010,17,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,5,3130000,3696000,3850000,4200000,2010,,,,
MANHATTAN,MURRAY HILL,03 THREE FAMILY HOMES,3,1634291,2393097,2550000,2995000,2010,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,1,4000000,4000000,4000000,4000000,2010,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,4250000,4250000,4250000,4250000,2010,1,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,1,24065000,24065000,24065000,24065000,2010,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,3850000,4075000,4075000,4300000,2011,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,2,4575000,5437500,5437500,6300000,2011,10,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,3,3850000,4350000,4400000,4800000,2011,,,,
MANHATTAN,CLINTON,03 THREE FAMILY HOMES,1,272794,272794,272794,272794,2011,,,,
