BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,YEAR
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,2016
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,2016
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,1,2016
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,2,2016
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,1,2016
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,2016
MANHATTAN,GRAMERCY,02 TWO FAMILY HOMES,2,2016
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,6,2016
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,10,2016
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,6,2016
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,3,2016
MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY HOMES,10,2016
MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY HOMES,23,2016
MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY HOMES,16,2016
MANHATTAN,HARLEM-EAST,01 ONE FAMILY HOMES,1,2016
MANHATTAN,HARLEM-EAST,02 TWO FAMILY HOMES,2,2016
MANHATTAN,HARLEM-EAST,03 THREE FAMILY HOMES,4,2016
MANHATTAN,HARLEM-UPPER,01 ONE FAMILY HOMES,5,2016
MANHATTAN,HARLEM-UPPER,02 TWO FAMILY HOMES,10,2016
MANHATTAN,HARLEM-UPPER,03 THREE FAMILY HOMES,5,2016
MANHATTAN,HARLEM-WEST,01 ONE FAMILY HOMES,1,2016
MANHATTAN,HARLEM-WEST,02 TWO FAMILY HOMES,1,2016
MANHATTAN,HARLEM-WEST,03 THREE FAMILY HOMES,2,2016
MANHATTAN,INWOOD,01 ONE FAMILY HOMES,3,2016
MANHATTAN,INWOOD,02 TWO FAMILY HOMES,2,2016
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,3,2016
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,2016
MANHATTAN,MANHATTAN VALLEY,01 ONE FAMILY HOMES,1,2016
MANHATTAN,MANHATTAN VALLEY,02 TWO FAMILY HOMES,2,2016
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,2,2016
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,2016
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY HOMES,1,2016
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,3,2016
MANHATTAN,SOHO,01 ONE FAMILY HOMES,4,2016
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,2016
MANHATTAN,TRIBECA,02 TWO FAMILY HOMES,1,2016
MANHATTAN,UPPER EAST SIDE (59-79),01 ONE FAMILY HOMES,13,2016
MANHATTAN,UPPER EAST SIDE (59-79),02 TWO FAMILY HOMES,9,2016
MANHATTAN,UPPER EAST SIDE (79-96),01 ONE FAMILY HOMES,17,2016
MANHATTAN,UPPER EAST SIDE (79-96),02 TWO FAMILY HOMES,9,2016
MANHATTAN,UPPER EAST SIDE (79-96),03 THREE FAMILY HOMES,3,2016
MANHATTAN,UPPER WEST SIDE (59-79),01 ONE FAMILY HOMES,2,2016
